Item,Title,Purpose,Related manuscript content,Raw data
S1,Friedman tests for component-wise configurations,Component contribution and omnibus significance,Tables 3-4,component_ablation_runs.csv
S2,Paired Wilcoxon tests for component-wise ablation,"Component contribution, Holm correction, and effect sizes",Tables 3-4,component_ablation_runs.csv
S3,Focused factorial cell summaries,Evidence concerning non-additive interaction among selected mechanisms,Supplementary analysis,interaction_runs.csv
S4,Focused factorial effect tests,Transparent reporting of main and interaction effects,Supplementary analysis,interaction_runs.csv
S5,Equal distance-query-budget comparison,Fair computational-cost comparison,Table 6,equal_distance_budget_runs.csv
S6,Equal-budget paired tests,Statistical support for the equal-budget comparison,Table 6,equal_distance_budget_runs.csv
S7,Switching-control comparison,Rationale and behavior of entropy-triggered switching,Supplementary analysis,switching_control_runs.csv
S8,Switching-control paired tests,Statistical support for switching-control comparison,Supplementary analysis,switching_control_runs.csv
S9,Internal-boundary sensitivity,Sensitivity to scale-category thresholds,Table 11,boundary_lower_runs.csv; boundary_upper_runs.csv
S10,Boundary-sensitivity paired tests,Statistical support for boundary sensitivity,Table 11,boundary_lower_runs.csv; boundary_upper_runs.csv
S11,Sequential single-thread timing,Empirical computational-cost characterization,Table 3,sequential_timing_runs.csv
S12,Segmented vs fixed 1000-iteration budget,Validation of scale-segmented iteration limits,Table 10,segmented_vs_fixed1000_runs.csv
S13,Switching-iteration and switching-reason distribution,Realized switching behavior for each instance and strategy,Section 4.1,switching_control_runs.csv
S14,Definitions of ablated variants,Numerical definition of each ablation configuration,Tables 3-4,component_ablation_runs.csv
S14a,No-scale base profiles,Exact retained parameters when scale-profile and segment overrides are disabled,Tables 3-4,component_ablation_runs.csv
S15,Switch-iteration and final-quality association,Association analysis where both variables vary,Section 4.1,switching_control_runs.csv
